business_id;opportunity_id
0;cooperative_opossum_link
1;excited_antelope_link
2;enchanting_ape_link
3;ugly_beaver_link
4;ugliest_wolverine_link
5;bloody_llama_link
6;grotesque_deer_link
7;busy_clam_link
8;funny_penguin_link
9;gorgeous_albatross_link
10;talented_woodpecker_link
11;excited_salamander_link
12;super_herd_link
13;wild_mouse_link
14;unsightly_gull_link
15;cautious_hummingbird_link
16;impossible_alligator_link
17;uninterested_loris_link
18;doubtful_manatee_link
19;encouraging_dragonfly_link
20;gentle_shark_link
21;wonderful_alpaca_link
22;stormy_partridge_link
23;frail_carabeef_link
24;wandering_curlew_link
25;friendly_trout_link
26;brainy_ox_link
27;bright_hawk_link
28;clever_cobra_link
29;famous_moose_link
30;misty_wolf_link
31;long_nightingale_link
32;successful_armadillo_link
33;zealous_chicken_link
34;comfortable_bison_link
35;zany_hare_link
36;blushing_hedgehog_link
37;cute_falcon_link
38;magnificent_hippopotamus_link
39;shiny_donkey_link
40;expensive_giraffe_link
41;difficult_duck_link
42;hilarious_raven_link
43;fair_walrus_link
44;breakable_bee_link
45;sleepy_quail_link
46;witty_gerbil_link
47;splendid_porcupine_link
48;annoying_lark_link
49;easy_hornet_link
